SKU,Product Name,Category,Current Image URL,New Image URL
CEM-ULT-PPC,UltraTech PPC Cement,Building Materials,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://lntsufin.com/storage/mediafiles/catalog/live/16447-268/original/16447-268_image_0.jpg
CEM-ULT-SUP,UltraTech Super Cement,Building Materials,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://www.ultratechcement.com/content/ultratechcement/in/en/home/for-homebuilders/products/overview/ultratech-super/_jcr_content/root/container/container_copy/container_copy/teaser.coreimg.png/1707274353526/cement-card-banner.png
CEM-ULT-WTH,UltraTech Weather Plus Cement,Building Materials,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://tiimg.tistatic.com/fp/1/007/492/protection-from-dampness-ppc-grade-weather-plus-cement-50kg-pack--754.jpg
CEM-LAF-CON,Lafarge Concreto Cement,Building Materials,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://admin.nuvoco.com/public/ProductsDetails/Concreto_Cement/Concreto%20(1).png
TMT-CAP-600,Captain 600 EQR TMT Bar,Building Materials,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80,https://cpimg.tistatic.com/09002647/b/4/Steel-TMT-Bars.jpg
TMT-TAT-550,Tata Tiscon 550D TMT Bar,Building Materials,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80,https://steeloncall.com/media/post/image/t/a/tata_tiscon.jpg
TMT-SHY-500,Shyam Steel 500D TMT Bar,Building Materials,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80,https://lntsufin.com/storage/mediafiles/catalog/live/16045-228/original/16045-228_image_0.jpg
TMT-ELE-QST,Elegant QST TMT Bar,Building Materials,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80,https://www.elegantsteels.com/wp-content/uploads/2022/09/Hero-Banner-01.jpg
TMT-DUR-STE,Durgapur Steel TMT Bar,Building Materials,https://images.unsplash.com/photo-1504917599217-d4dc5ebe6122?w=600&auto=format&fit=crop&q=80,https://cdn-djijc.nitrocdn.com/cnGswwnkWlMQqnekDdYATqCwiPykyGJy/assets/images/optimized/rev-6f51cac/shreejisteelcorp.com/wp-content/uploads/2025/03/tmd-4-1000x1000.webp
WIR-BND-2022,Binding Wire (Black Annealed 20/22G),Building Materials,https://images.unsplash.com/photo-1590247813693-5541d1c609fd?w=600&auto=format&fit=crop&q=80,https://image.made-in-china.com/2f0j00DhFzCYKPbegI/Cheap-Price-Black-Annealed-1kg-Arame-Recozido-Black-Annealed-Binding-Wire.webp
